"127666","128369",2.0
"126080","126293",1.0
"119685","127125",2.0
"124763","127448",2.0
"126444","126986",3.0
"127882","123212",1.0
"127776","127448",1.0
"126080","128483",1.0
"126289","126281",1.0
"128398","126081",2.0
"129003","128483",1.0
"126080","123213",1.0
"128475","126441",3.0
"124776","128469",1.0
"129668","126429",1.0
"122243","127125",1.0
"117945","126887",1.0
"126146","127077",1.0
"121423","121514",1.0
"127291","132307",1.0
"126842","128110",1.0
"123701","125724",1.0
"126027","128303",1.0
"127123","129000",2.0
"128369","126218",1.0
"126300","123219",1.0
"128473","118884",1.0
"120478","129283",1.0
"128281","126838",3.0
"126887","127430",2.0
"126840","128475",2.0
"129001","127408",1.0
"126960","126846",3.0
"127125","126434",3.0
"128151","121088",2.0
"127412","122212",3.0
"118518","125333",1.0
"127057","120479",1.0
"126931","132307",1.0
"126080","128111",1.0
"127543","117590",1.0
"128172","127450",1.0
"129007","121514",1.0
"126492","126766",2.0
"127666","126960",2.0
"132222","118518",1.0
"124776","126280",1.0
"126246","127518",1.0
"126285","127544",1.0
"132829","127544",1.0
"123213","126224",2.0
"127254","127340",1.0
"126300","127448",1.0
"126221","127290",1.0
"129004","128469",1.0
"121423","126278",1.0
"132222","121691",3.0
"126080","126248",1.0
"126768","123212",1.0
"126249","126069",1.0
"127291","132308",1.0
"126836","128192",1.0
"119254","120389",2.0
"128248","126221",1.0
"126378","118518",3.0
"127670","126767",1.0
"126492","119254",1.0
"125012","127514",1.0
"127412","126434",3.0
"127514","127409",2.0
"119685","128398",1.0
"128469","127514",2.0
"127250","118186",1.0
"129283","125718",1.0
"126146","126278",2.0
"126080","128247",1.0
"126441","129615",2.0
"127123","126295",3.0
"126281","121315",1.0
"125713","132876",1.0
"125332","117591",3.0
"125332","126374",2.0
"127254","127290",1.0
"126848","127782",1.0
"126080","125724",2.0
"126848","127667",1.0
"119254","129615",1.0
"119339","119747",1.0
"127289","117575",1.0
"126249","126441",2.0
"126837","126281",1.0
"131634","121315",1.0
"126842","128192",3.0
"127430","126292",2.0
"126246","121514",2.0
"126221","126290",1.0
"126985","126290",1.0
"127412","121315",3.0
"118186","121088",2.0
"126960","125723",1.0
"126250","126225",1.0
"129512","123213",4.0
"121574","121088",1.0
"126444","128303",1.0
"126840","118884",2.0
"126766","126290",2.0
"127291","119685",1.0
"128369","132307",1.0
"123212","127450",1.0
"127125","126887",2.0
"121423","126230",1.0
"131634","126837",2.0
"126436","128111",1.0
"126444","132220",3.0
